code,招商银行,长江电力,美的集团,迈瑞医疗
招商银行,1.0,0.5945189725987942,0.6640246411666844,0.6185423312708597
长江电力,0.5945189725987942,1.0,0.5731486980850632,0.5172513773111554
美的集团,0.6640246411666844,0.5731486980850632,1.0,0.6361517601004547
迈瑞医疗,0.6185423312708597,0.5172513773111554,0.6361517601004547,1.0
