alpha,beta,lambda,rho,status,expected_return,risk_value,risk_bound,risk_slack,similarity,objective,effective_assets,w_招商银行,w_长江电力,w_美的集团,w_迈瑞医疗
0.5,0.5,0.01,0.7,optimal,0.00011493290346937179,0.001802365613217589,0.008963242934882609,0.00716087732166502,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,0.75,optimal,0.00011493290346937179,0.001802365613217589,0.00960347457308851,0.007801108959870921,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,0.8,optimal,0.00011493290346937179,0.001802365613217589,0.01024370621129441,0.008441340598076823,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,0.85,optimal,0.00011493290346937179,0.001802365613217589,0.010883937849500312,0.009081572236282722,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,0.9,optimal,0.00011493290346937179,0.001802365613217589,0.011524169487706213,0.009721803874488625,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,0.95,optimal,0.00011493290346937179,0.001802365613217589,0.012164401125912112,0.010362035512694524,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,1.0,optimal,0.00011493290346937179,0.001802365613217589,0.012804632764118013,0.011002267150900424,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,1.05,optimal,0.00011493290346937179,0.001802365613217589,0.013444864402323915,0.011642498789106327,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,1.1,optimal,0.00011493290346937179,0.001802365613217589,0.014085096040529814,0.012282730427312226,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,1.15,optimal,0.00011493290346937179,0.001802365613217589,0.014725327678735713,0.012922962065518125,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,1.2,optimal,0.00011493290346937179,0.001802365613217589,0.015365559316941616,0.013563193703724028,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,1.25,optimal,0.00011493290346937179,0.001802365613217589,0.016005790955147516,0.014203425341929928,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
0.5,0.5,0.01,1.3,optimal,0.00011493290346937179,0.001802365613217589,0.01664602259335342,0.01484365698013583,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
