alpha,beta,lambda,rho,status,expected_return,risk_value,risk_bound,risk_slack,similarity,objective,effective_assets,w_招商银行,w_长江电力,w_美的集团,w_迈瑞医疗
0.5,0.5,0.0,1.0,optimal,0.0005857607874861482,0.0015764202475312323,0.012804632764118013,0.011228212516586782,1.0,0.0005857607874861482,1.0,1.0,0.0,0.0,0.0
0.5,0.5,0.0001,1.0,optimal,0.0005857607874861482,0.0015764202475312323,0.012804632764118013,0.011228212516586782,1.0,0.0004857607874861482,1.0,1.0,0.0,0.0,0.0
0.5,0.5,0.0005,1.0,optimal,0.0005540994334242212,0.001701787833955282,0.012804632764118013,0.011102844930162732,0.8426765003739003,0.00013276118323727102,1.8806149587484702,0.6259780895821101,0.0,0.3740219104178899,0.0
0.5,0.5,0.001,1.0,optimal,0.0005487673435289421,0.0017229009941650358,0.012804632764118013,0.011081731769952977,0.8346783655309817,-0.00028591102200203964,1.9687549163363325,0.5629890447910542,0.0,0.43701095520894595,0.0
0.5,0.5,0.005,1.0,optimal,0.000302134819650488,0.0016984239514293764,0.012804632764118013,0.011106208812688638,0.7340212570706568,-0.003367971465702796,3.2096302218695354,0.35277555013269385,0.2613094342136852,0.3418936712588381,0.04402134439478275
0.5,0.5,0.01,1.0,optimal,0.00011493290346937179,0.001802365613217589,0.012804632764118013,0.011002267150900424,0.7059409696406861,-0.006944476792937489,3.8376739735403214,0.2763713382774448,0.2884963540307941,0.2736606300964822,0.16147167759527908
