stock_code,cluster_id,selection_reason,annual_return,annual_volatility,stock_score
000333,1,top_score_in_cluster,0.200964173734184,0.241533389732227,0.832034750793585
601318,1,supplement_k_less_than_4,0.187973974918013,0.265045355671175,0.709214369902863
000895,2,top_score_in_cluster,0.0747355032202623,0.187102866870559,0.39943537194417
601398,3,top_score_in_cluster,0.283662148554201,0.183798011202559,1.54333633263085
