k,silhouette_score,ch_score,silhouette_norm,ch_norm,joint_score
2,0.104884110496651,5.9204489409811,0,0.626652449125483,0.313326224562742
3,0.137577335721203,7.10542570363062,0.714508009822906,1,0.857254004911453
4,0.129656532668536,5.44969879997088,0.541399447223511,0.478334424874082,0.509866936048796
5,0.136646537956642,4.91130782556306,0.694165493789806,0.308704978927254,0.50143523635853
6,0.129700038891034,4.33090164592062,0.542350272485884,0.125837911393007,0.334094091939446
7,0.130368411920471,3.93150167527187,0.556957515417788,0,0.278478757708894
8,0.150640385828897,4.34298436402193,1,0.129644782002814,0.564822391001407
