lambda,annual_expected_return,annual_variance,annual_volatility,sharpe_ratio,max_single_weight,max_pair_weight_sum,weight_000333,weight_601318,weight_000895,weight_601398
0.0001,0.193455414531759,0.0199597472083965,0.141278969448381,1.36931501756489,0.362676044962298,0.649999999607373,0.255096692726873,0.0949033076657539,0.287323954645075,0.362676044962298
0.0002,0.193494144727349,0.0199597530062099,0.141278989967404,1.36958895849972,0.362860512351508,0.649999999598733,0.255111322357528,0.094888678043739,0.287139487247224,0.362860512351508
0.0003,0.193532880059667,0.0199597626784864,0.141279024198521,1.36986280275917,0.363045003224818,0.64999999955764,0.255125969431963,0.0948740310103973,0.286954996332822,0.363045003224818
0.0004,0.193571609946412,0.0199597762216937,0.141279072129221,1.37013647548138,0.363229469191462,0.649999999545333,0.255140598135065,0.0948594023196022,0.286770530353871,0.363229469191462
0.0005,0.193610339504694,0.019959793637159,0.141279133764187,1.37041001276137,0.363413933648112,0.649999999532512,0.25515522583418,0.0948447746333079,0.2865860658844,0.363413933648112
0.0006,0.193649068714367,0.0199598149247721,0.14127920910301,1.37068341438104,0.363598396502112,0.649999999519144,0.255169852468231,0.0948301480126255,0.286401603017032,0.363598396502112
0.0007,0.193687797554042,0.0199598400844138,0.141279298145248,1.37095668011398,0.363782857655096,0.649999999505194,0.255184477972416,0.0948155225223901,0.286217141850097,0.363782857655096
0.0008,0.193726526001014,0.0199598691159557,0.141279400890419,1.37122980972488,0.363967317002653,0.649999999490623,0.255199102277996,0.094800898231381,0.28603268248797,0.363967317002653
0.0009,0.193765254031188,0.0199599020192589,0.141279517338002,1.37150280296907,0.364151774433958,0.649999999475392,0.255213725312051,0.0947862752125563,0.285848225041435,0.364151774433958
0.001,0.19380398161899,0.0199599387941732,0.141279647487433,1.37177565959194,0.364336229831394,0.649999999459458,0.255228346997244,0.0947716535432985,0.285663769628063,0.364336229831394
0.0011,0.193842708737284,0.019959979440537,0.1412797913381,1.37204837932833,0.364520683070149,0.649999999442773,0.255242967251551,0.0947570333056759,0.285479316372624,0.364520683070149
0.0012,0.193881435357275,0.0199600239581754,0.141279948889343,1.3723209619019,0.364705134017787,0.649999999425288,0.255257585987994,0.0947424145867176,0.285294865407502,0.364705134017787
0.0013,0.193920161448416,0.0199600723469002,0.141280120140451,1.37259340702453,0.364889582533796,0.649999999406951,0.255272203114345,0.0947277974787042,0.285110416873155,0.364889582533796
0.0014,0.193958886978299,0.0199601246065081,0.141280305090653,1.37286571439554,0.365074028469117,0.649999999387703,0.255286818532822,0.0947131820794747,0.284925970918586,0.365074028469117
0.0015,0.193997611912552,0.0199601807367801,0.141280503739122,1.37313788370102,0.365258471665638,0.649999999367486,0.255301432139765,0.0946985684927498,0.284741527701847,0.365258471665638
0.0016,0.194036336218323,0.0199602407374859,0.141280716084984,1.37340991463835,0.365442911972191,0.649999999346241,0.255316043837018,0.0946839568167412,0.28455708737405,0.365442911972191
0.0017,0.194075059862119,0.0199603046083808,0.141280942127312,1.37368180690099,0.365627349234642,0.649999999323912,0.255330653524848,0.0946693471512403,0.284372650089271,0.365627349234642
0.0018,0.194113782795445,0.0199603723491803,0.141281181865032,1.37395356007769,0.365811783230014,0.649999999300407,0.255345261055369,0.0946547396442246,0.284188216070393,0.365811783230014
0.0019,0.194152504974943,0.0199604439595902,0.141281435297035,1.37422517379407,0.36599621375885,0.649999999275646,0.255359866298115,0.0946401344262398,0.284003785516796,0.36599621375885
0.002,0.194191226354651,0.0199605194392937,0.141281702422124,1.37449664765818,0.366180640609709,0.649999999249544,0.255374469114859,0.0946255316355968,0.283819358639836,0.366180640609709
0.0021,0.194229946885855,0.0199605987879499,0.141281983239017,1.37476798125959,0.366365063558483,0.649999999222013,0.25538906935917,0.0946109314188174,0.28363493566353,0.366365063558483
0.0022,0.19426866651693,0.0199606820051922,0.141282277746334,1.37503917416826,0.366549482367667,0.649999999192955,0.255403666875945,0.0945963339311003,0.283450516825287,0.366549482367667
0.0023,0.194307385193173,0.0199607690906265,0.141282585942594,1.37531022593347,0.366733896785594,0.649999999162267,0.255418261500918,0.0945817393368154,0.283266102376673,0.366733896785594
0.0024,0.194346102856631,0.0199608600438289,0.141282907826208,1.37558113608262,0.366918306545626,0.649999999129839,0.255432853060139,0.0945671478100216,0.283081692584214,0.366918306545626
