trade_date,code_000333,code_601318,code_000895,code_601398
2023-01-03,44.86177736,40.6991256,20.9413092,3.54031589
2023-01-04,46.4788075,41.89031952,20.892438,3.58138684
2023-01-05,47.48188502,42.23559312,21.0390516,3.55674427
2023-01-06,46.70363522,42.93477216,20.9005832,3.56495846
2023-01-09,46.79010742,43.94469744,20.9250188,3.55674427
2023-01-10,46.262627,42.47728464,20.8761476,3.5321017
2023-01-11,47.127349,43.7634288,20.6155012,3.54031589
2023-01-12,47.36082394,43.94469744,20.5014684,3.5321017
2023-01-13,48.3811959,45.1876824,21.0227612,3.56495846
2023-01-16,49.8944594,44.96325456,21.3567144,3.56495846
2023-01-17,50.153876,44.453976,21.0797776,3.55674427
2023-01-18,49.8079872,44.4971352,20.851712,3.56495846
2023-01-19,49.61774836,44.72156304,20.9087284,3.55674427
2023-01-20,49.35833176,44.9718864,20.851712,3.55674427
2023-01-30,48.1217793,44.43671232,20.9168736,3.54853008
2023-01-31,47.7326544,44.00512032,20.77026,3.54853008
2023-02-01,47.992071,44.3244984,21.0309064,3.54031589
2023-02-02,46.66039912,43.87564272,21.1205036,3.5321017
2023-02-03,46.09832982,42.8139264,20.77026,3.5321017
2023-02-06,44.3170025,41.57094144,20.4933232,3.52388751
2023-02-07,44.533183,42.0370608,20.5340492,3.52388751
2023-02-08,44.10946922,41.864424,20.4281616,3.5321017
2023-02-09,44.55912466,42.57223488,20.5177588,3.5321017
2023-02-10,44.63694964,42.5549712,20.5992108,3.54031589
2023-02-13,45.34602168,42.511812,20.9575996,3.52388751
2023-02-14,45.14713562,43.0728816,21.3241336,3.5321017
2023-02-15,44.4034747,42.19243392,21.3159884,3.52388751
2023-02-16,44.34294416,42.4686528,21.0797776,3.51567332
2023-02-17,44.42941636,42.1233792,21.1693748,3.51567332
2023-02-20,46.0896826,43.1160408,21.5196184,3.54031589
2023-02-21,46.29721588,43.16783184,21.7558292,3.54853008
2023-02-22,45.64002716,42.45138912,21.7721196,3.5321017
2023-02-23,46.15021314,42.27875232,21.8047004,3.5321017
2023-02-24,45.81297156,41.6054688,21.6336512,3.52388751
2023-02-27,45.3114328,41.2601952,21.58478,3.52388751
2023-02-28,45.36331612,41.6054688,21.5684896,3.5321017
2023-03-01,47.23111564,43.15056816,21.8617168,3.5321017
2023-03-02,47.4300017,43.3318368,21.7151032,3.54853008
2023-03-03,47.7326544,43.40089152,21.6499416,3.58138684
2023-03-06,46.54798526,41.93347872,21.6580868,3.57317265
2023-03-07,45.70920492,41.35514544,21.1123584,3.60602941
2023-03-08,45.21631338,40.76818032,21.014616,3.6142436
2023-03-09,45.5708494,40.25890176,20.8598572,3.59781522
2023-03-10,44.2305303,39.706464,20.648082,3.56495846
2023-03-13,45.01742732,40.138056,20.851712,3.6142436
2023-03-14,44.2305303,39.24034464,20.7784052,3.62245779
2023-03-15,43.63387212,39.6633048,20.8354216,3.66352874
2023-03-16,43.27068888,39.04181232,20.607356,3.71281388
2023-03-17,43.52145826,39.8791008,20.5177588,3.71281388
2023-03-20,43.61657768,39.34392672,20.200096,3.70459969
2023-03-21,45.0520162,39.71509584,20.5340492,3.65531455
2023-03-22,44.7061274,40.138056,20.5177588,3.71281388
2023-03-23,44.80989404,40.46606592,20.607356,3.71281388
2023-03-24,45.04336898,39.8791008,20.6725176,3.67995712
2023-03-27,44.8358357,39.69783216,20.648082,3.66352874
2023-03-28,44.17864698,39.60288192,20.7621148,3.68817131
2023-03-29,44.4467108,39.20581728,20.9250188,3.70459969
2023-03-30,47.10140734,39.25760832,20.9250188,3.71281388
2023-03-31,46.53069082,39.3611904,21.1286488,3.66352874
2023-04-03,47.29164618,39.43024512,21.1612296,3.65531455
2023-04-04,47.23976286,39.33529488,21.2671172,3.71281388
2023-04-06,46.71228244,38.91233472,21.38115,3.72102807
2023-04-07,47.28299896,39.38708592,21.2426816,3.72102807
2023-04-10,47.35217672,39.75825504,21.136794,3.73745645
2023-04-11,48.28607648,39.41298144,21.1449392,3.73745645
