trade_date,code_000039,code_000333,code_000876,code_000895,code_001205,code_001872,code_002100,code_002129,code_002157,code_002202,code_002299,code_002460,code_002466,code_002567,code_002594,code_002714,code_002840,code_300014,code_300274,code_300498,code_300750,code_300760,code_300761,code_600018,code_600026,code_600030,code_600036,code_600150,code_600438,code_600519,code_600900,code_600905,code_600975,code_601012,code_601018,code_601088,code_601298,code_601318,code_601398,code_601628,code_601872,code_601899,code_601919,code_603167,code_603477,code_603799,code_605296,code_688223,code_688303,code_688599
2023-01-03,6.7051072,44.86177736,12.674981,20.9413092,25.50455878,13.20508915,7.75581675,29.37159581,4.17,10.86883784,21.617694,67.47185774,74.99821752,7.02924852,84.39109184,44.26280088,17.04633532,84.57063191,79.55748394,18.31161828,200.92448988,287.99772512,17.58416192,4.85899544,11.69194006,18.4997564,31.3843733,22.5826976,34.25821696,1566.90638721,18.85122231,5.5629504,7.08,40.96550619,3.27241551,22.56353953,4.90705303,40.6991256,3.54031589,34.9215547,5.22154104,9.90492867,7.31692364,5.94088896,24.43344975,53.0105938,24.412525,14.40614945,43.922491,63.5416128
2023-01-04,6.66701,46.4788075,12.6250795,20.892438,25.2199754,13.26905844,7.78401972,28.42935687,4.21,10.75331432,21.497132,65.09307274,72.86884335,7.01930616,83.9439953,44.28146142,16.94653242,81.29300024,77.2452865,18.16004772,198.02128467,294.55574115,17.8329944,4.88619131,11.19935435,18.7321654,32.27796775,22.681312,33.1788,1562.37778221,18.77909903,5.5438992,7.08,39.62045745,3.29074837,22.33798469,4.95110198,41.89031952,3.58138684,35.90164193,5.13182384,9.6885817,7.28133549,5.98124826,24.33432825,52.45407689,24.56876516,14.05784765,43.74024,62.02962864
2023-01-05,6.7241558,47.48188502,12.7149022,21.0390516,25.23960184,13.40613549,7.77461873,28.89275307,4.16,10.77256824,21.395118,66.63452542,75.39459453,7.01930616,85.88141364,44.51471817,17.1660988,84.96704164,78.38762214,17.8095408,210.13945917,296.12818505,17.97296267,4.88619131,11.05064923,19.00175984,32.1526975,22.76020352,34.1078064,1631.203521,18.72500657,5.5534248,7.06,40.02982011,3.28158194,22.2332628,4.99515093,42.23559312,3.55674427,36.09195013,5.14079556,9.77323921,7.28133549,5.94896082,24.01713945,55.63282602,24.53947013,14.5706253,43.96805375,62.83346832
2023-01-06,6.7051072,46.70363522,12.6350598,20.9005832,25.82839504,13.25991997,7.7088118,30.26749513,4.1,10.85921088,21.107624,68.09034184,77.66223975,6.99942144,86.2442746,44.30945223,16.84672952,86.87174205,82.6472954,17.91374556,214.85781222,294.2320027,18.10774693,4.83179957,11.152884,18.97387076,32.0524813,22.32630016,35.833104,1633.71236817,18.83319149,5.6867832,6.98,41.58929691,3.26324908,22.24937386,4.94229219,42.93477216,3.56495846,35.23556323,5.2484562,9.81086477,7.30268838,5.94896082,23.194431,56.36856024,24.412525,15.89610715,44.69705775,67.44597696
2023-01-09,6.6860586,46.79010742,12.774784,20.9250188,25.3181076,13.27819691,7.98144051,30.31383475,4.15,10.8784648,21.56205,68.77543192,78.37203114,7.1584992,85.33064254,45.42908463,16.966493,84.91869899,82.922557,18.44424252,214.8268722,294.73148488,18.8697964,4.83179957,11.152884,19.1969834,32.403238,22.07976416,35.47034912,1667.6135052,18.73402198,5.6296296,7.06,41.19942771,3.26324908,22.3138181,4.95991177,43.94469744,3.55674427,35.46393307,5.23051276,10.76091016,7.28133549,5.94896082,23.392674,56.17991044,24.58829518,16.12830835,44.286993,68.59431936
2023-01-10,6.6193885,46.262627,12.6650007,20.8761476,24.89613914,13.17767374,7.88743061,31.54183468,4.09,10.79182216,22.146312,69.82209732,79.21087551,7.09884504,86.37062797,45.05587383,16.70700546,85.09273253,83.89973568,18.16952088,222.768144,303.47242303,19.17046898,4.75021196,10.94841446,19.00175984,31.94391375,21.695168,35.37302464,1679.61430845,18.59879083,5.5915272,7.01,41.49182961,3.24491622,22.10437432,4.91586282,42.47728464,3.5321017,34.6360924,5.158739,10.73269099,7.25286497,5.86824222,22.6591749,57.67024386,24.39299498,16.0992832,43.78580275,68.33594232
2023-01-11,6.6003399,47.127349,12.7448431,20.6155012,25.39661336,13.30561232,8.09425239,30.84674038,4.08,10.7340604,22.201956,68.56609884,77.69911203,7.13861448,87.14818717,45.19582788,17.24594112,80.22946194,83.92726184,18.39687672,220.63328262,300.35528424,19.26896517,4.73208138,11.38523575,18.90879624,32.5034542,21.77405952,35.01026976,1671.00995895,18.77008362,5.5438992,6.94,41.3261352,3.23574979,23.21603746,4.91586282,43.7634288,3.54031589,35.19750159,5.32022996,10.80794211,7.22439445,5.78752362,23.79907215,57.3495392,24.33440492,15.4413798,43.7584651,66.99620952
2023-01-12,6.6098642,47.36082394,12.6150992,20.5014684,24.89613914,13.22336609,8.10365338,31.26379696,4.01,10.79182216,21.506406,69.58421882,78.59326482,7.06901796,89.8404859,45.01855275,16.88665068,82.03747705,82.84686006,18.53897412,223.5416445,297.6543806,19.2326771,4.72301609,12.13805542,19.02035256,32.61202175,21.76419808,35.09874656,1661.092314,18.64386788,5.5820016,6.88,42.29106147,3.22658336,23.1999264,4.9334824,43.94469744,3.5321017,35.32120192,5.44583404,10.74209738,7.16033578,5.76330804,23.8089843,59.66993174,24.27581486,15.48975505,43.80402785,67.50339408
2023-01-13,6.6574857,48.3811959,12.7448431,21.0227612,24.80782016,13.29647385,8.26347021,30.99348251,4.05,10.69555256,21.580598,69.97433956,78.94355148,7.2579228,90.25518414,46.0915338,17.18605938,81.215652,82.79868928,19.23998796,226.6356465,305.99758294,19.67331795,4.75021196,12.47264194,19.289947,33.1214541,21.6458608,35.07220352,1709.095527,18.86925313,5.5629504,7.03,42.3008082,3.25408265,23.34492594,4.97753135,45.1876824,3.56495846,36.20613505,5.44583404,10.86438045,7.21015919,5.79559548,24.65151705,59.48128194,24.51994011,15.7122812,43.6126643,67.7522016
2023-01-16,6.7051072,49.8944594,12.9943506,21.3567144,24.95501846,13.36044314,8.54549991,31.41826236,4.19,10.74368736,21.65479,70.72603562,80.40000654,7.87434912,88.7065454,46.65135,17.8647191,80.56786049,83.66576332,20.130465,230.31235221,316.22771796,19.93251845,4.78647312,12.69569962,20.02435944,33.79791345,22.85881792,36.11622976,1732.5537009,18.90531477,5.5820016,7.34,42.885612,3.27241551,23.05492686,5.00396072,44.96325456,3.56495846,35.61617963,5.49966436,10.82675489,7.2599826,5.86017036,25.7517657,59.62276929,24.8031254,15.0350277,44.71528285,66.508164
