stock_code,cluster_id
000333,1
002129,1
002202,1
002460,1
002466,1
002594,1
300014,1
300274,1
300750,1
300760,1
600030,1
600036,1
600438,1
600519,1
601012,1
601318,1
601628,1
603799,1
688223,1
688303,1
688599,1
000876,2
000895,2
002100,2
002157,2
002299,2
002567,2
002714,2
002840,2
300498,2
300761,2
600975,2
603477,2
605296,2
000039,3
001205,3
001872,3
600018,3
600026,3
600150,3
600900,3
600905,3
601018,3
601088,3
601298,3
601398,3
601872,3
601899,3
601919,3
603167,3
