stock_code,daily_mean_return,daily_volatility,annual_return,annual_volatility,stock_score
601398,0.00112564344664366,0.0115781864073865,0.283662148554201,0.183798011202559,1.54333633263085
601899,0.00179174842215175,0.021543743100631,0.451520602382241,0.341996319322398,1.32024988829366
601919,0.00104854712656763,0.017341018145398,0.264233875895044,0.275280128960289,0.959872682757864
601088,0.000840469347311692,0.0145334981381801,0.211798275522546,0.230712130520668,0.918019676921896
600900,0.000514811616603769,0.00930364311460563,0.12973252738415,0.147690755808869,0.878406550725763
000333,0.000797476879897555,0.0152151733940456,0.200964173734184,0.241533389732227,0.832034750793585
601298,0.000762054098147832,0.0169164777882108,0.192037632733254,0.268540759720522,0.71511539973713
601318,0.000745928471896875,0.0166962880299665,0.187973974918013,0.265045355671175,0.709214369902863
002202,0.000904648160741712,0.022054338419599,0.227971336506911,0.350101768729898,0.651157340146974
603167,0.000663846721124401,0.0185916323888761,0.167289373723349,0.2951330146062,0.566827042195078
300750,0.000844227689795118,0.0245527313653159,0.21274537782837,0.389762527200007,0.545833329224077
600030,0.000616575486258346,0.0185128314201357,0.155377022537103,0.293882088008051,0.528705317123127
300274,0.00109283923801812,0.0339413406198374,0.275395487980566,0.538802078665348,0.511125511361688
000039,0.000587177197832009,0.0184074898791916,0.147968653853666,0.292209842887675,0.506378061708705
001872,0.000547494247504797,0.0172990366801287,0.137968550371209,0.274613693859629,0.502409579187746
601872,0.000779033485053349,0.0251519472993958,0.196316438233444,0.399274785259224,0.491682534137457
600036,0.000385393923868525,0.0141298694390662,0.0971192688148682,0.224304723561486,0.432979151186917
600150,0.000556280824170719,0.0214388395480299,0.140182767691021,0.340331027051421,0.411901227183265
000895,0.000296569457223263,0.0117863727458744,0.0747355032202623,0.187102866870559,0.39943537194417
601628,0.000380184014673183,0.0198413981027195,0.0958063716976422,0.314972430261748,0.304173833938498
603799,0.000363264607588391,0.0269651293918851,0.0915426811122744,0.428058158649638,0.213855709236
600018,0.000143867131015141,0.0122352482731986,0.0362545170158154,0.194228544960096,0.186659056851112
601018,0.000149000356307406,0.0128795460881889,0.0375480897894663,0.204456455692456,0.183648345376515
002714,0.000191683370975735,0.0176480184960681,0.0483042094858853,0.280153608441987,0.172420443750551
605296,0.000263180397630226,0.0248241743470711,0.0663214602028171,0.394071550949156,0.168298016040681
002594,0.000210695973099896,0.0203352761900839,0.0530953852211738,0.322812501844651,0.164477475059889
300761,0.000237855805584184,0.0230393030472084,0.0599396630072145,0.365737597458996,0.163887069373376
600026,-1.46802191594734e-06,0.0266199866184518,-0.000369941522818731,0.422579186977744,-0.000875437158806913
002100,-7.33123621128174e-05,0.0206084750426595,-0.01847471525243,0.32714939917895,-0.0564717994249604
002460,-0.000101039396575296,0.0283261129869088,-0.0254619279369745,0.449663103434865,-0.0566244544915452
300498,-0.000116962999882003,0.0179876859060639,-0.0294746759702648,0.28554566141392,-0.103222286146169
600975,-0.000264393548911111,0.0259714382054608,-0.0666271743256,0.412283800093986,-0.161605123243774
300014,-0.000366291617512861,0.031413245874224,-0.0923054876132409,0.498669818739135,-0.185103417420832
600519,-0.000185438636921794,0.014485317054264,-0.0467305365042922,0.229947279525031,-0.203222828297063
002466,-0.000435698030331996,0.0284066397684734,-0.109795903643663,0.450941426462268,-0.24348151932954
002157,-0.000362561359204701,0.0226620020057648,-0.0913654625195847,0.359748129108604,-0.253970639808394
603477,-0.000503538038298067,0.0274989075680368,-0.126891585651113,0.436531624505865,-0.290681312710731
002299,-0.000384670196016299,0.0186246309694095,-0.0969368893961074,0.295656850832457,-0.327869586391014
688303,-0.000708733670254525,0.0295103022655068,-0.17860088490414,0.468461525453263,-0.381249846999354
001205,-0.000574394753395937,0.0234328152923323,-0.144747477855776,0.371984410689735,-0.389122430123845
000876,-0.000457262949560078,0.0163062426748441,-0.11523026328914,0.258853577613037,-0.445156154887681
600438,-0.000736388544356956,0.0253262017903817,-0.185569913177953,0.402040989547133,-0.461569635939317
300760,-0.000594199552142598,0.0182379188465401,-0.149738287139935,0.289517986195939,-0.517198565475637
002567,-0.000673096642277642,0.0204370029541927,-0.169620353853966,0.324427364161718,-0.522829984740174
002840,-0.000821969796991651,0.0246594963982448,-0.207136388841896,0.391457369555092,-0.529141625503986
600905,-0.000441930524348,0.0106111579782077,-0.111366492135696,0.168446910796539,-0.661137040798638
601012,-0.00116567357195489,0.0245459185855738,-0.293749740132632,0.389654377674399,-0.753872552095626
688223,-0.00134737226300726,0.0274858075561583,-0.339537810277829,0.436323668264249,-0.778178758050311
688599,-0.0019329150993282,0.0306989817298423,-0.487094605030708,0.487331226960468,-0.999514453585836
002129,-0.00176977061181039,0.0272694426069344,-0.445982194176218,0.432888981175783,-1.03024612214631
